,carat,cut,color,clarity,depth,table,price,x,y,z
5394,0.42,Premium,G,VVS1,60.2,59.0,1179,4.82,4.84,2.91
5395,0.41,Ideal,I,IF,61.1,57.0,953,4.78,4.81,2.93
5396,1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47
5397,0.96,Fair,I,VS2,56.1,60.0,3215,6.62,6.58,3.7
5398,0.31,Ideal,G,VS1,61.0,55.0,802,4.43,4.39,2.69
5399,0.92,Premium,E,SI1,62.2,58.0,4482,6.23,6.18,3.86
5400,1.53,Premium,F,VS1,60.3,58.0,15217,7.51,7.48,4.52
5401,0.3,Good,G,VVS2,57.9,61.0,540,4.4,4.42,2.56
5402,0.41,Premium,G,VVS1,59.7,60.0,1148,4.85,4.83,2.89
5403,0.5,Ideal,H,VS1,61.1,56.0,1637,5.1,5.14,3.13
5404,0.23,Very Good,G,VVS2,62.9,55.0,431,3.88,3.92,2.45
5405,0.92,Ideal,E,SI2,62.3,56.0,4871,6.21,6.25,3.88
5406,0.53,Ideal,F,VS2,61.3,55.0,1723,5.22,5.25,3.21
5407,0.74,Very Good,E,VS1,62.8,59.0,3416,5.68,5.76,3.59
5408,0.24,Very Good,F,SI1,61.6,57.0,370,4.02,4.05,2.48
5409,0.59,Good,E,SI2,57.4,62.0,1327,5.53,5.49,3.16
5410,0.41,Ideal,F,IF,62.2,54.0,1151,4.76,4.79,2.97
5411,0.51,Premium,E,VS2,62.5,60.0,1590,5.08,5.1,3.18
5412,0.35,Very Good,F,SI2,62.8,55.0,460,4.48,4.53,2.83
5413,2.19,Premium,J,SI2,58.8,58.0,10179,8.57,8.53,5.03
5414,1.0,Very Good,E,VS1,63.0,58.0,7676,6.29,6.38,3.99
5415,0.31,Ideal,I,VS2,61.6,55.0,452,4.38,4.42,2.71
5416,0.3,Premium,H,VVS1,60.7,58.0,796,4.38,4.35,2.65
5417,1.03,Ideal,G,VS1,62.0,54.8,6913,6.46,6.5,4.02
5418,1.01,Ideal,F,VS1,62.1,54.0,8133,6.42,6.44,3.99
5419,0.7,Fair,G,VS1,65.6,60.0,2384,5.57,5.5,3.63
5420,0.33,Premium,I,VS2,61.1,59.0,463,4.4,4.44,2.7
5421,0.72,Very Good,E,VS2,63.8,57.0,3035,5.66,5.69,3.62
5422,0.9,Very Good,E,VVS2,63.7,57.0,6892,6.1,6.12,3.89
5423,1.2,Ideal,I,VS1,62.1,56.5,6210,6.8,6.84,4.23
5424,1.0,Premium,G,VS2,62.0,57.0,6048,6.43,6.37,3.97
5425,1.02,Very Good,E,VS2,60.6,61.0,6366,6.44,6.47,3.91
5426,0.72,Ideal,G,VS2,62.7,56.0,2578,5.72,5.76,3.6
5427,0.3,Ideal,E,SI1,62.9,56.0,675,4.3,4.25,2.69
5428,1.06,Ideal,E,SI2,62.2,55.0,5319,6.54,6.51,4.06
5429,0.52,Ideal,E,VS2,62.4,57.0,1621,5.12,5.14,3.2
5430,1.66,Ideal,H,VS1,61.5,56.0,15210,7.6,7.66,4.69
5431,0.3,Ideal,G,SI2,60.6,56.0,405,4.35,4.4,2.65
5432,0.57,Very Good,G,VS2,62.6,55.0,1608,5.26,5.31,3.31
5433,0.51,Ideal,H,IF,62.1,55.0,1905,5.14,5.2,3.21
5434,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51
5435,0.51,Ideal,H,VS1,61.6,55.0,1668,5.17,5.19,3.19
5436,0.33,Very Good,G,SI1,59.8,58.0,492,4.52,4.54,2.71
5437,0.3,Ideal,F,SI1,62.3,54.0,475,4.3,4.34,2.69
5438,0.52,Ideal,G,VVS2,61.8,57.0,2012,5.19,5.14,3.19
5439,0.77,Very Good,G,VS2,61.3,60.0,2896,5.81,5.91,3.59
5440,0.7,Very Good,E,VS2,62.5,57.0,2593,5.64,5.68,3.54
5441,0.91,Fair,I,SI2,65.0,58.0,2129,6.05,6.02,3.92
5442,0.3,Ideal,G,IF,62.3,54.0,863,4.32,4.35,2.7
5443,1.16,Ideal,G,SI2,61.6,55.0,5695,6.74,6.77,4.16
5444,0.3,Premium,F,VS1,61.5,59.0,844,4.33,4.31,2.66
5445,0.54,Very Good,F,VS1,61.8,59.0,1653,5.15,5.22,3.21
5446,1.52,Premium,I,VVS2,61.6,58.0,10824,7.37,7.41,4.55
5447,1.0,Good,E,SI1,63.7,60.0,5082,6.24,6.29,3.99
5448,0.51,Ideal,E,VS2,61.6,55.0,1985,5.15,5.2,3.19
5449,1.5,Premium,F,VS2,61.1,58.0,14071,7.33,7.36,4.49
5450,0.41,Very Good,D,SI1,63.2,58.0,947,4.77,4.72,3.0
5451,0.73,Premium,G,VS2,60.7,58.0,2746,5.82,5.87,3.55
5452,0.32,Very Good,G,VS1,62.8,54.0,645,4.38,4.41,2.76
5453,0.9,Very Good,D,VS2,58.8,61.0,4729,6.27,6.32,3.7
5454,1.01,Good,D,SI2,63.9,57.0,4672,6.36,6.29,4.04
5455,0.36,Premium,I,VS1,60.9,61.0,729,4.61,4.58,2.8
5456,1.51,Premium,F,VS2,62.0,60.0,14165,7.23,7.35,4.52
5457,0.38,Ideal,G,VS2,60.4,57.0,726,4.68,4.71,2.83
5458,1.04,Premium,I,I1,61.6,61.0,2870,6.47,6.45,3.98
5459,0.42,Ideal,G,VVS2,62.4,55.0,1103,4.82,4.79,3.0
5460,0.3,Premium,E,VS1,61.8,58.0,911,4.33,4.31,2.67
5461,0.34,Premium,D,SI1,59.7,59.0,626,4.54,4.57,2.72
5462,1.03,Premium,H,SI1,61.1,59.0,4603,6.56,6.5,3.99
5463,1.22,Premium,H,SI2,61.6,59.0,5192,6.82,6.75,4.18
